cohort,schoolid_ulcs,schoolname,sector,rate_type,group,subgroup,denom,num,score
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,All Students,All Students,281,203,72.24
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,ELL,EL,37,24,64.86
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,ELL,Non-EL,244,179,73.36
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,211,153,72.51
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,70,50,71.43
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Ethnicity,Asian,13,10,76.92
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,253,182,71.94
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,6,s,s
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Ethnicity,White,3,s,s
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Gender,Female,121,99,81.82
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,Gender,Male,160,104,65
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,224,174,77.68
2010-2011,1010,John Bartram High School,District,4-Year Graduation Rate,IEP,IEP,57,29,50.88
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,All Students,All Students,276,210,76.09
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,ELL,EL,36,24,66.67
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,ELL,Non-EL,240,186,77.5
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,206,159,77.18
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,70,51,72.86
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Ethnicity,Asian,13,10,76.92
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,248,189,76.21
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
