PA Code,NSC Code,NCES Code,AUN Code,ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Publication Name Alpha List,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Phasing-In,Phasing-Out,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School Cohort,CTE Status,Title I Designation,Federal Accountability Designation,City Council District,GPS Location,Multiple Addresses,Street Address,City,State,Zip Code,Phone Number,Fax Number,Website,School Leader Name,Learning Network,Assistant Superintendent,FACE Liaison Name,FACE Liaison Email,FACE Liaison Phone Number,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
3847,393345,421899003847,126515001,1010,101,JOHN BARTRAM HIGH SCHOOL,John Bartram High School,"Bartram, John High School",Bartram,1939,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,Academic Improvement Plan,2017-2018,,,0,,2,"39.92149737, -75.23405562",N/A,2401 S 67TH ST,PHILADELPHIA,PA,19142,215-400-8100,215-400-8101,https://bartram.philasd.org/,MR BRIAN JOHNSON,Network 13,JONATHAN BROWN,Gerri Dunham-Collazo,gdunhamcollazo@philasd.org,215-400-5857,0,0,0,0,0,0,0,0,0,1,1,1,1
3860,393555,421899003860,126515001,1020,102,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,West Philadelphia High School,West Philadelphia,1911,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2011-2012,,Programs,0,,3,"39.958110, -75.219654",N/A,4901 CHESTNUT ST,PHILADELPHIA,PA,19139,215-400-7900,215-400-7901,https://wphs.philasd.org/,MS MARLA TRAVIS CURTIS,Network 13,JONATHAN BROWN,Gerri Dunham-Collazo,gdunhamcollazo@philasd.org,215-400-5857,0,0,0,0,0,0,0,0,0,1,1,1,1
7903,392779,421899000993,126515001,1030,103,HIGH SCHOOL OF THE FUTURE,High School of the Future,High School of the Future,HS of Future,2006,High,Citywide,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,0,,4,"39.97465766, -75.2047566",N/A,4021 PARKSIDE AVE,PHILADELPHIA,PA,19104,215-400-7790,215-400-7791,https://sof.philasd.org/,MR JOHN SMITH JR,Innovation,RYAN SCALLON,Natasha Dye,ndye@philasd.org,215-400-5853,0,0,0,0,0,0,0,0,0,1,1,1,1
7780,393347,421899000765,126515001,1050,105,PAUL ROBESON HIGH SCHOOL,Paul Robeson High School for Human Services,"Robeson, Paul High School for Human Services",Robeson,2003,High,Citywide,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,0,,3,"39.95679553, -75.20476311",N/A,4125 LUDLOW ST,PHILADELPHIA,PA,19104,215-400-7780,215-400-7781,https://robeson.philasd.org/,MR RICHARD GORDON,Network 1,TED DOMERS,Jonathan Bracero,jbracero@philasd.org,215-400-5825,0,0,0,0,0,0,0,0,0,1,1,1,1
7245,393944,421899003825,126515001,1100,110,SAYRE HIGH SCHOOL,William L. Sayre High School,"Sayre, William L. High School",Sayre,1950,High,Neighborhood,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,0,,3,"39.95759354, -75.23859405",N/A,5800 WALNUT ST,PHILADELPHIA,PA,19139,215-400-7800,215-400-7801,https://sayre.philasd.org/,MS JAMIE EBERLE,Network 13,JONATHAN BROWN,Natasha Dye,ndye@philasd.org,215-400-5853,0,0,0,0,0,0,0,0,0,1,1,1,1
8297,,421899007496,126515001,1130,113,TILDEN MIDDLE SCHOOL,William T. Tilden School,"Tilden, William T. Middle School",Tilden,1927,Middle,Neighborhood,05-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,2016-2017,,0,,2,"39.92093619, -75.23227632",N/A,6601 ELMWOOD AVE,PHILADELPHIA,PA,19142,215-400-8170,215-400-8171,https://tilden.philasd.org/,MS TIMEKA FORD-SMITH,Network 10,ARIEL LAJARA,Angela Butler,abutler@philasd.org,215-400-5856,0,0,0,0,0,1,1,1,1,0,0,0,0
7815,393246,421899000830,126515001,1190,119,MOTIVATION HIGH SCHOOL,Motivation High School,Motivation High School,Motivation,2004,High,Special Admit,09-12,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,0,,3,"39.94453199, -75.24184422",N/A,5900 BALTIMORE AVE,PHILADELPHIA,PA,19143,215-400-7930,215-400-7931,https://motivationhs.philasd.org/,MRS RENNU TELI,Network 1,TED DOMERS,Darlene Bates-Harper,dbatesharper@philasd.org,215-400-5883,0,0,0,0,0,0,0,0,0,1,1,1,1
8029,,421899006869,126515001,1200,120,JOHN BARRY ELEMENTARY SCHOOL,John Barry School,"Barry, John Elementary School",Barry,2007,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2013-2014,,,0,,4,"39.96437494, -75.23860376",N/A,5900 RACE ST,PHILADELPHIA,PA,19139,215-400-7640,215-400-7641,https://barry.philasd.org/,MS KATIEDRA ARGRO,Network 5,RENATO LAJARA,Dalila Bedoya,dbedoya@philasd.org,215-400-5866,1,1,1,1,1,1,1,1,1,0,0,0,0
3601,,421899003601,126515001,1230,123,WILLIAM C. BRYANT SCHOOL,William C. Bryant School,"Bryant, William C. School",Bryant,1903,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2013-2014,,,0,,3,"39.952687, -75.243691",N/A,6001 CEDAR AVE,PHILADELPHIA,PA,19143,215-400-7910,215-400-7911,https://bryant.philasd.org/,MR BAHIR HAYES,Acceleration,SEAN CONLEY,Veronica Passalacqua,vpassalacqua@philasd.org,215-400-7910,1,1,1,1,1,1,1,1,1,0,0,0,0
3602,,421899003602,126515001,1250,125,JOSEPH W. CATHARINE SCHOOL,Joseph W. Catharine School,"Catharine, Joseph W. School",Catharine,1937,Elementary,Neighborhood,00-05,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,0,,2,"39.927435, -75.239911",N/A,6600 CHESTER AVE,PHILADELPHIA,PA,19142,215-400-8150,215-400-8151,https://catharine.philasd.org/,MS LISA WILMER,Network 12,JAMINA CLAY,LuQman Abdullah,labdullah@philasd.org,215-400-5852,1,1,1,1,1,1,0,0,0,0,0,0,0
3782,,421899003782,126515001,1260,126,BENJAMIN B. COMEGYS SCHOOL,Benjamin B. Comegys School,"Comegys, Benjamin B. School",Comegys,1911,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,0,,3,"39.940520, -75.216289",N/A,5100 GREENWAY AVE,PHILADELPHIA,PA,19143,215-400-7860,215-400-7861,https://comegys.philasd.org/,MS RAUCHAUN DUPREE,Network 12,JAMINA CLAY,Carmen Colon,ccolon@philasd.org,215-400-5877,1,1,1,1,1,1,1,1,1,0,0,0,0
7706,,421899000619,126515001,1280,128,PENN ALEXANDER SCHOOL,Sadie Alexander School,Penn Alexander School,Penn Alexander,2001,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,0,,3,"39.953099, -75.208187",N/A,4209 SPRUCE ST,PHILADELPHIA,PA,19104,215-400-7760,215-400-7761,https://pennalexander.philasd.org/,MS LAUREN OVERTON,Network 2,MARKITA FLOYD,Troy Sanders,tlsanders@philasd.org,215-400-5899,1,1,1,1,1,1,1,1,1,0,0,0,0
5185,,421899005185,126515001,1290,129,ANDREW HAMILTON SCHOOL,Andrew Hamilton School,"Hamilton, Andrew School",Hamilton,1970,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,0,,3,"39.955438, -75.235543",N/A,5640 SPRUCE ST,PHILADELPHIA,PA,19139,215-400-7650,215-400-7651,https://hamilton.philasd.org/,MR TORRENCE ROTHMILLER,Network 2,MARKITA FLOYD,Natasha Dye,ndye@philasd.org,215-400-5853,1,1,1,1,1,1,1,1,1,0,0,0,0
6528,,421899006528,126515001,1300,130,A.D. HARRINGTON SCHOOL,Avery D. Harrington School,"Harrington, Avery D. School",Harrington,1927,Elementary-Middle,Neighborhood,00-08,N/A,0,0,District,Phila Board of Education,SDP K12 Schools,,Academic Improvement Plan,2019-2020,,,0,,3,"39.94736517, -75.23059508",N/A,5300 BALTIMORE AVE,PHILADELPHIA,PA,19143,215-400-7920,215-400-7921,https://harrington.philasd.org/,MR ALONZO FULTON,Network 12,JAMINA CLAY,Natasha Dye,ndye@philasd.org,215-400-5853,1,1,1,1,1,1,1,1,1,0,0,0,0
