"cohort","schoolid_ulcs","schoolname","sector","rate_type","group","subgroup","denom","num","score","lat","long"
"2019-2020",1010,"John Bartram High School","District","4-Year Graduation Rate","All Students","All Students",139,"98","70.5",39.92149737,-75.23405562
"2019-2020",1020,"West Philadelphia High School","District","4-Year Graduation Rate","All Students","All Students",117,"96","82.05",39.95811,-75.219654
"2019-2020",1030,"High School of the Future","District","4-Year Graduation Rate","All Students","All Students",132,"122","92.42",39.97465766,-75.2047566
"2019-2020",1050,"Paul Robeson High School for Human Services","District","4-Year Graduation Rate","All Students","All Students",74,"71","95.95",39.95679553,-75.20476311
"2019-2020",1100,"William L. Sayre High School","District","4-Year Graduation Rate","All Students","All Students",100,"63","63",39.95759354,-75.23859405
"2019-2020",1190,"Motivation High School","District","4-Year Graduation Rate","All Students","All Students",82,"72","87.8",39.94453199,-75.24184422
"2019-2020",2000,"South Philadelphia High School","District","4-Year Graduation Rate","All Students","All Students",150,"101","67.33",39.9238987,-75.1691065
"2019-2020",2010,"Benjamin Franklin High School","District","4-Year Graduation Rate","All Students","All Students",98,"70","71.43",39.96353,-75.16164
"2019-2020",2020,"High School for Creative and Performing Arts","District","4-Year Graduation Rate","All Students","All Students",186,"185","99.46",39.93941992,-75.16548375
"2019-2020",2140,"Julia R. Masterman School","District","4-Year Graduation Rate","All Students","All Students",113,"112","99.12",39.96320031,-75.16620758
"2019-2020",2160,"Furness High School","District","4-Year Graduation Rate","All Students","All Students",226,"141","62.39",39.923762,-75.150585
"2019-2020",2290,"Franklin Learning Center","District","4-Year Graduation Rate","All Students","All Students",208,"181","87.02",39.965049,-75.162753
"2019-2020",2310,"Achieve Academy","Alternative","4-Year Graduation Rate","All Students","All Students",4,"s","s",39.978134,-75.177658
"2019-2020",2410,"Girard Academic Music Program","District","4-Year Graduation Rate","All Students","All Students",61,"61","100",39.92210463,-75.18256439
"2019-2020",2530,"Phila. Juv. Justice Services Ctr.","Alternative","4-Year Graduation Rate","All Students","All Students",31,"3","9.68",39.96136565,-75.21572624
"2019-2020",2620,"Academy at Palumbo","District","4-Year Graduation Rate","All Students","All Students",239,"233","97.49",39.94019787,-75.16194915
"2019-2020",2650,"Science Leadership Academy","District","4-Year Graduation Rate","All Students","All Students",117,"115","98.29",39.963701,-75.162516
"2019-2020",2670,"Constitution High School","District","4-Year Graduation Rate","All Students","All Students",98,"94","95.92",39.950252,-75.152336
"2019-2020",2680,"The Science Leadership Academy at Beeber","District","4-Year Graduation Rate","All Students","All Students",111,"104","93.69",39.98610221,-75.24192008
"2019-2020",3210,"Ben Franklin High School EOP","Alternative","4-Year Graduation Rate","All Students","All Students",62,"5","8.06",39.962909,-75.15921
"2019-2020",3240,"Liguori Academy-Fortis","Alternative","4-Year Graduation Rate","All Students","All Students",27,"6","22.22",39.994204,-75.111842
"2019-2020",3290,"Excel Academy South","Alternative","4-Year Graduation Rate","All Students","All Students",122,"47","38.52",40.02608143,-75.10251944
"2019-2020",3510,"El Centro de Estudiantes (Big Picture)","Alternative","4-Year Graduation Rate","All Students","All Students",49,"13","26.53",39.9750748270236,-75.1793489797446
"2019-2020",3540,"Ombudsman Northwest","Alternative","4-Year Graduation Rate","All Students","All Students",13,"9","69.23",40.05586457,-75.15648403
"2019-2020",3810,"One Bright Ray - Elmwood Campus","Alternative","4-Year Graduation Rate","All Students","All Students",44,"8","18.18",39.92251591,-75.22908493
